Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
Round of 16 - Game 2,Liverpool,Porto,0 - 0,0.0,0.0
Round of 16 - Game 2,Paris Saint-Germain,Real Madrid,1 - 2,1.0,2.0
Round of 16 - Game 2,Tottenham Hotspur,Juventus,1 - 2,1.0,2.0
Round of 16 - Game 2,Manchester City,Basel,1 - 2,1.0,2.0
Round of 16 - Game 2,Manchester United,Sevilla,1 - 2,1.0,2.0
Round of 16 - Game 2,Roma,Shakhtar Donetsk,1 - 0,1.0,0.0
Round of 16 - Game 2,Besiktas,Bayern Munich,1 - 3,1.0,3.0
Round of 16 - Game 2,Barcelona,Chelsea,3 - 0,3.0,0.0
Qtr Finals - Game 1,Sevilla,Bayern Munich,1 - 2,1.0,2.0
Qtr Finals - Game 1,Juventus,Real Madrid,0 - 3,0.0,3.0
Qtr Finals - Game 1,Liverpool,Manchester City,3 - 0,3.0,0.0
Qtr Finals - Game 1,Barcelona,Roma,4 - 1,4.0,1.0
Qtr Finals - Game 2,Manchester City,Liverpool,1 - 2,1.0,2.0
Qtr Finals - Game 2,Roma,Barcelona,3 - 0,3.0,0.0
Qtr Finals - Game 2,Bayern Munich,Sevilla,0 - 0,0.0,0.0
Qtr Finals - Game 2,Real Madrid,Juventus,1 - 3,1.0,3.0
Semi Finals - Game 1,Liverpool,Roma,5 - 2,5.0,2.0
Semi Finals - Game 1,Bayern Munich,Real Madrid,1 - 2,1.0,2.0
Semi Finals - Game 2,Real Madrid,Bayern Munich,2 - 2,2.0,2.0
Semi Finals - Game 2,Roma,Liverpool,4 - 2,4.0,2.0
Final,Real Madrid,Liverpool,3 - 1,3.0,1.0
