Round Number,Home Team,Away Team,Home Goals,Away Goals,Home Shots,Away Shots,Home Shots Keeper,Away Shots Keeper,Home Possesion,Away Possesion,Home Passes,Away Passes,Home Passes Completed,Away Passes Completed,Home Tackles,Away Tackles,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Offside,Away Offside,Home Corners,Away Corners
4,Copenhagen,Manchester City,0 , 0,7,21,2,8,37,63,364,604,74,83,17,8,3,2,0,0,11,0,3,5
4,M. Haifa,Juventus,2 , 0,14,10,4,5,42,58,364,482,75,84,16,12,1,2,0,0,1,1,6,9
4,Dinamo Zagreb,Salzburg,1 , 1,14,15,3,3,57,43,478,379,77,70,6,13,1,2,0,0,0,3,7,3
4,AC Milan,Chelsea,0 , 2,7,15,1,4,29,71,295,701,75,93,12,18,6,3,1,0,0,2,2,5
4,Shakhtar Donetsk,Real Madrid,1 , 1,11,17,2,5,41,59,464,637,85,90,6,8,2,2,0,0,2,2,6,11
4,Celtic,Leipzig,0 , 2,16,13,2,5,41,59,424,617,82,87,11,4,2,0,0,0,1,0,5,5
4,Borussia Dortmund,Sevilla,1 , 1,7,9,3,2,52,48,533,496,84,82,11,7,1,3,0,0,0,3,3,2
4,Paris Saint-Germain,Benfica,1 , 1,7,7,3,1,62,38,622,381,90,83,5,18,2,5,0,0,3,3,6,2
4,Napoli,Ajax,4 , 2,13,13,5,3,45,55,437,539,87,87,11,11,3,6,0,0,3,4,2,6
4,Atletico de Madrid,Club Brugge,0 , 0,21,5,9,1,66,34,630,351,87,76,8,7,2,3,0,1,5,1,12,1
4,Rangers,Liverpool,1 , 7,7,20,2,9,43,57,413,546,69,79,7,6,0,1,0,0,2,3,3,3
4,Bayer Leverkusen,FC Porto,0 , 3,17,5,4,3,65,35,618,346,87,76,16,9,3,2,0,0,1,1,8,1
4,FC Barcelona,Internazionale,3 , 3,25,11,11,8,62,38,505,315,84,68,12,15,2,3,0,0,2,3,10,8
4,Plzen,Bayern Munich,2 , 4,15,15,6,8,31,69,298,682,75,88,9,11,1,2,0,0,0,2,3,1
4,Tottenham,Frankfurt,3 , 2,11,11,8,6,52,48,494,462,84,81,13,15,3,2,0,1,3,0,4,4
4,Sporting CP,Arsenal,0 , 2,4,16,2,5,31,69,284,640,76,90,14,15,2,2,2,0,0,2,3,7
5,Salzburg,Chelsea,1 , 2,16,15,7,11,29,71,230,601,50,83,18,11,1,2,0,0,1,0,9,2
5,Sevilla,Copenhagen,3 , 0,15,10,11,2,58,42,518,374,88,80,12,18,2,2,0,1,1,1,3,5
5,Dinamo Zagreb,AC Milan,0 , 4,11,22,6,10,56,44,519,402,85,83,6,15,2,1,0,0,0,3,0,8
5,Celtic,Shakhtar Donetsk,1 , 1,15,8,5,3,55,45,615,536,89,87,6,10,0,4,0,0,1,1,8,3
5,Leipzig,Real Madrid,3 , 2,14,12,3,5,57,43,533,489,86,85,9,11,1,2,0,0,2,3,5,4
5,Borussia Dortmund,Manchester City,0 , 0,11,8,4,3,27,73,341,902,80,92,4,10,1,4,0,0,3,3,0,3
5,Paris Saint-Germain,M. Haifa,7 , 2,21,13,9,5,63,37,637,379,92,85,6,12,2,4,0,0,1,3,3,8
5,Benfica,Juventus,4 , 3,15,13,6,6,55,45,492,402,84,82,5,9,1,1,0,0,0,1,8,7
5,Club Brugge,FC Porto,0 , 4,10,18,4,9,57,43,435,338,77,73,13,13,3,4,0,0,1,5,8,3
5,Internazionale,Plzen,4 , 0,22,5,9,1,64,36,578,328,90,81,9,8,0,2,0,0,3,0,8,7
5,Napoli,Rangers,3 , 0,14,9,6,1,65,35,792,418,91,82,12,11,2,2,0,0,2,2,2,4
5,Ajax,Liverpool,0 , 3,11,13,2,5,49,51,533,543,81,87,6,11,0,0,0,0,0,1,3,4
5,Atletico de Madrid,Bayer Leverkusen,2 , 2,23,13,10,7,64,36,652,395,88,78,8,11,2,3,0,0,3,0,11,3
5,FC Barcelona,Bayern Munich,0 , 3,9,14,0,8,52,48,502,470,84,87,14,13,1,3,0,0,2,5,2,4
5,Tottenham,Sporting CP,1 , 1,18,10,7,4,59,41,550,406,84,79,12,10,1,2,0,0,5,1,10,6
5,Frankfurt,Arsenal,2 , 1,9,11,4,3,43,57,415,536,75,81,15,11,3,3,0,0,5,4,0,5
6,FC Porto,Atletico de Madrid,2 , 1,16,11,8,5,51,49,474,461,79,82,10,7,2,3,0,0,0,5,8,5
6,Bayer Leverkusen,Club Brugge,0 , 0,13,8,4,1,54,46,536,469,84,79,13,6,2,3,0,0,3,2,7,3
6,Liverpool,Napoli,2 , 0,14,10,6,2,53,47,494,454,81,80,18,10,3,0,0,0,3,3,4,3
6,Rangers,Ajax,1 , 3,8,13,3,7,45,55,440,537,83,86,9,13,0,3,0,0,3,3,5,6
6,Internazionale,Bayern Munich,2 , 0,9,21,2,11,44,56,478,622,83,87,9,11,1,1,0,0,4,1,5,3
6,Plzen,FC Barcelona,2 , 4,20,8,11,1,77,23,738,223,91,71,5,8,0,4,0,0,1,3,10,1
6,Sporting CP,Frankfurt,1 , 2,5,6,2,4,45,55,436,516,78,81,15,17,3,4,0,0,1,3,3,6
6,Arsenal,Tottenham,1 , 2,16,7,4,3,64,36,669,382,88,82,9,10,1,2,0,0,3,3,9,3
6,Real Madrid,Celtic,5 , 1,25,14,10,8,65,35,756,401,91,86,6,8,0,2,0,0,0,0,5,4
6,Shakhtar Donetsk,Leipzig,0 , 4,5,12,1,7,48,52,502,533,87,89,15,10,3,0,0,0,3,4,2,3
6,Chelsea,Dinamo Zagreb,2 , 1,22,7,6,2,59,41,595,421,89,79,17,16,1,3,0,0,0,0,9,3
