Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
1,Internazionale,Slavia Praha,1 - 1,1.0,1.0
1,Lyon,Zenit,1 - 1,1.0,1.0
1,Napoli,Liverpool,2 - 0,2.0,0.0
1,Salzburg,Genk,6 - 2,6.0,2.0
1,Dortmund,Barcelona,0 - 0,0.0,0.0
1,Benfica,Leipzig,1 - 2,1.0,2.0
1,Chelsea,Valencia,0 - 1,0.0,1.0
1,Ajax,LOSC,3 - 0,3.0,0.0
1,Club Brugge,Galatasaray,0 - 0,0.0,0.0
1,Olympiacos,Tottenham,2 - 2,2.0,2.0
1,Paris,Real Madrid,3 - 0,3.0,0.0
1,Bayern,Crvena zvezda,3 - 0,3.0,0.0
1,Dinamo Zagreb,Atalanta,4 - 0,4.0,0.0
1,Shakhtar Donetsk,Man. City,0 - 3,0.0,3.0
1,Leverkusen,Lokomotiv Moskva,1 - 2,1.0,2.0
1,Atlético,Juventus,2 - 2,2.0,2.0
2,Real Madrid,Club Brugge,2 - 2,2.0,2.0
2,Atalanta,Shakhtar Donetsk,1 - 2,1.0,2.0
2,Galatasaray,Paris,0 - 1,0.0,1.0
2,Tottenham,Bayern,2 - 7,2.0,7.0
2,Crvena zvezda,Olympiacos,3 - 1,3.0,1.0
2,Man. City,Dinamo Zagreb,2 - 0,2.0,0.0
2,Juventus,Leverkusen,3 - 0,3.0,0.0
2,Lokomotiv Moskva,Atlético,0 - 2,0.0,2.0
2,Genk,Napoli,0 - 0,0.0,0.0
2,Slavia Praha,Dortmund,0 - 2,0.0,2.0
2,Liverpool,Salzburg,4 - 3,4.0,3.0
2,Barcelona,Internazionale,2 - 1,2.0,1.0
2,Leipzig,Lyon,0 - 2,0.0,2.0
2,Zenit,Benfica,3 - 1,3.0,1.0
2,LOSC,Chelsea,1 - 2,1.0,2.0
2,Valencia,Ajax,0 - 3,0.0,3.0
3,Shakhtar Donetsk,Dinamo Zagreb,2 - 2,2.0,2.0
3,Atlético,Leverkusen,1 - 0,1.0,0.0
3,Club Brugge,Paris,0 - 5,0.0,5.0
3,Galatasaray,Real Madrid,0 - 1,0.0,1.0
3,Olympiacos,Bayern,2 - 3,2.0,3.0
3,Tottenham,Crvena zvezda,5 - 0,5.0,0.0
3,Man. City,Atalanta,5 - 1,5.0,1.0
3,Juventus,Lokomotiv Moskva,2 - 1,2.0,1.0
3,Leipzig,Zenit,2 - 1,2.0,1.0
3,Ajax,Chelsea,0 - 1,0.0,1.0
3,Salzburg,Napoli,2 - 3,2.0,3.0
3,Genk,Liverpool,1 - 4,1.0,4.0
3,Internazionale,Dortmund,2 - 0,2.0,0.0
3,Slavia Praha,Barcelona,1 - 2,1.0,2.0
3,Benfica,Lyon,2 - 1,2.0,1.0
3,LOSC,Valencia,1 - 1,1.0,1.0
4,Barcelona,Slavia Praha,0 - 0,0.0,0.0
4,Zenit,Leipzig,0 - 2,0.0,2.0
4,Napoli,Salzburg,1 - 1,1.0,1.0
4,Liverpool,Genk,2 - 1,2.0,1.0
4,Dortmund,Internazionale,3 - 2,3.0,2.0
4,Lyon,Benfica,3 - 1,3.0,1.0
4,Chelsea,Ajax,4 - 4,4.0,4.0
4,Valencia,LOSC,4 - 1,4.0,1.0
4,Bayern,Olympiacos,2 - 0,2.0,0.0
4,Lokomotiv Moskva,Juventus,1 - 2,1.0,2.0
4,Paris,Club Brugge,1 - 0,1.0,0.0
4,Real Madrid,Galatasaray,6 - 0,6.0,0.0
4,Crvena zvezda,Tottenham,0 - 4,0.0,4.0
4,Dinamo Zagreb,Shakhtar Donetsk,3 - 3,3.0,3.0
4,Atalanta,Man. City,1 - 1,1.0,1.0
4,Leverkusen,Atlético,2 - 1,2.0,1.0
5,Galatasaray,Club Brugge,1 - 1,1.0,1.0
5,Lokomotiv Moskva,Leverkusen,0 - 2,0.0,2.0
5,Real Madrid,Paris,2 - 2,2.0,2.0
5,Crvena zvezda,Bayern,0 - 6,0.0,6.0
5,Tottenham,Olympiacos,4 - 2,4.0,2.0
5,Atalanta,Dinamo Zagreb,2 - 0,2.0,0.0
5,Man. City,Shakhtar Donetsk,1 - 1,1.0,1.0
5,Juventus,Atlético,1 - 0,1.0,0.0
5,Zenit,Lyon,2 - 0,2.0,0.0
5,Valencia,Chelsea,2 - 2,2.0,2.0
5,Liverpool,Napoli,1 - 1,1.0,1.0
5,Genk,Salzburg,1 - 4,1.0,4.0
5,Barcelona,Dortmund,3 - 1,3.0,1.0
5,Slavia Praha,Internazionale,1 - 3,1.0,3.0
5,Leipzig,Benfica,2 - 2,2.0,2.0
5,LOSC,Ajax,0 - 2,0.0,2.0
6,Napoli,Genk,4 - 0,4.0,0.0
6,Salzburg,Liverpool,0 - 2,0.0,2.0
6,Dortmund,Slavia Praha,2 - 1,2.0,1.0
6,Internazionale,Barcelona,1 - 2,1.0,2.0
6,Lyon,Leipzig,2 - 2,2.0,2.0
6,Benfica,Zenit,3 - 0,3.0,0.0
6,Chelsea,LOSC,2 - 1,2.0,1.0
6,Ajax,Valencia,0 - 1,0.0,1.0
6,Dinamo Zagreb,Man. City,1 - 4,1.0,4.0
6,Shakhtar Donetsk,Atalanta,0 - 3,0.0,3.0
6,Paris,Galatasaray,5 - 0,5.0,0.0
6,Club Brugge,Real Madrid,1 - 3,1.0,3.0
6,Bayern,Tottenham,3 - 1,3.0,1.0
6,Olympiacos,Crvena zvezda,1 - 0,1.0,0.0
6,Leverkusen,Juventus,0 - 2,0.0,2.0
6,Atlético,Lokomotiv Moskva,2 - 0,2.0,0.0
R16 Game 1,Atlético,Liverpool,1 - 0,1.0,0.0
R16 Game 1,Dortmund,Paris,2 - 1,2.0,1.0
R16 Game 1,Atalanta,Valencia,4 - 1,4.0,1.0
R16 Game 1,Tottenham,Leipzig,0 - 1,0.0,1.0
R16 Game 1,Chelsea,Bayern,0 - 3,0.0,3.0
R16 Game 1,Napoli,Barcelona,1 - 1,1.0,1.0
R16 Game 1,Lyon,Juventus,1 - 0,1.0,0.0
R16 Game 1,Real Madrid,Man. City,1 - 2,1.0,2.0
R16 Game 2,Valencia,Atalanta,3 - 4,3.0,4.0
R16 Game 2,Leipzig,Tottenham,3 - 0,3.0,0.0
R16 Game 2,Liverpool,Atlético,2 - 3,2.0,3.0
R16 Game 2,Paris,Dortmund,2 - 0,2.0,0.0
R16 Game 2,Juventus,Lyon,2 - 1,2.0,1.0
R16 Game 2,Man. City,Real Madrid,2 - 1,2.0,1.0
R16 Game 2,Bayern,Chelsea,4 - 1,4.0,1.0
R16 Game 2,Barcelona,Napoli,3 - 1,3.0,1.0
Quarter Finals,Atalanta,Paris,1 - 2,1.0,2.0
Quarter Finals,Leipzig,Atlético,2 - 1,2.0,1.0
Quarter Finals,Barcelona,Bayern,2 - 8,2.0,8.0
Quarter Finals,Man. City,Lyon,1 - 3,1.0,3.0
