Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
1,Internazionale,Tottenham,2 - 1,2.0,1.0
1,Barcelona,PSV,4 - 0,4.0,0.0
1,Monaco,Atlético,1 - 2,1.0,2.0
1,Club Brugge,Dortmund,0 - 1,0.0,1.0
1,Crvena zvezda,Napoli,0 - 0,0.0,0.0
1,Liverpool,Paris,3 - 2,3.0,2.0
1,Schalke,Porto,1 - 1,1.0,1.0
1,Galatasaray,Lokomotiv Moskva,3 - 0,3.0,0.0
1,Ajax,AEK,3 - 0,3.0,0.0
1,Shakhtar Donetsk,Hoffenheim,2 - 2,2.0,2.0
1,Benfica,Bayern,0 - 2,0.0,2.0
1,Man. City,Lyon,1 - 2,1.0,2.0
1,Plzen,CSKA Moskva,2 - 2,2.0,2.0
1,Real Madrid,Roma,3 - 0,3.0,0.0
1,Valencia,Juventus,0 - 2,0.0,2.0
1,Young Boys,Man. United,0 - 3,0.0,3.0
2,Hoffenheim,Man. City,1 - 2,1.0,2.0
2,Juventus,Young Boys,3 - 0,3.0,0.0
2,AEK,Benfica,2 - 3,2.0,3.0
2,Bayern,Ajax,1 - 1,1.0,1.0
2,Lyon,Shakhtar Donetsk,2 - 2,2.0,2.0
2,Roma,Plzen,5 - 0,5.0,0.0
2,CSKA Moskva,Real Madrid,1 - 0,1.0,0.0
2,Man. United,Valencia,0 - 0,0.0,0.0
2,Paris,Crvena zvezda,6 - 1,6.0,1.0
2,Lokomotiv Moskva,Schalke,0 - 1,0.0,1.0
2,Dortmund,Monaco,3 - 0,3.0,0.0
2,Atlético,Club Brugge,3 - 1,3.0,1.0
2,PSV,Internazionale,1 - 2,1.0,2.0
2,Tottenham,Barcelona,2 - 4,2.0,4.0
2,Napoli,Liverpool,1 - 0,1.0,0.0
2,Porto,Galatasaray,1 - 0,1.0,0.0
3,AEK,Bayern,0 - 2,0.0,2.0
3,Young Boys,Valencia,1 - 1,1.0,1.0
3,Ajax,Benfica,1 - 0,1.0,0.0
3,Shakhtar Donetsk,Man. City,0 - 3,0.0,3.0
3,Hoffenheim,Lyon,3 - 3,3.0,3.0
3,Real Madrid,Plzen,2 - 1,2.0,1.0
3,Roma,CSKA Moskva,3 - 0,3.0,0.0
3,Man. United,Juventus,0 - 1,0.0,1.0
