Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
3,Club Brugge,Monaco,1 - 1,1.0,1.0
3,PSV,Tottenham,2 - 2,2.0,2.0
3,Dortmund,Atlético,4 - 0,4.0,0.0
3,Barcelona,Internazionale,2 - 0,2.0,0.0
3,Liverpool,Crvena zvezda,4 - 0,4.0,0.0
3,Paris,Napoli,2 - 2,2.0,2.0
3,Galatasaray,Schalke,0 - 0,0.0,0.0
3,Lokomotiv Moskva,Porto,1 - 3,1.0,3.0
4,Monaco,Club Brugge,0 - 4,0.0,4.0
4,Crvena zvezda,Liverpool,2 - 0,2.0,0.0
4,Atlético,Dortmund,2 - 0,2.0,0.0
4,Internazionale,Barcelona,1 - 1,1.0,1.0
4,Tottenham,PSV,2 - 1,2.0,1.0
4,Napoli,Paris,1 - 1,1.0,1.0
4,Schalke,Galatasaray,2 - 0,2.0,0.0
4,Porto,Lokomotiv Moskva,4 - 1,4.0,1.0
4,CSKA Moskva,Roma,1 - 2,1.0,2.0
4,Valencia,Young Boys,3 - 1,3.0,1.0
4,Benfica,Ajax,1 - 1,1.0,1.0
4,Bayern,AEK,2 - 0,2.0,0.0
4,Man. City,Shakhtar Donetsk,6 - 0,6.0,0.0
4,Lyon,Hoffenheim,2 - 2,2.0,2.0
4,Plzen,Real Madrid,0 - 5,0.0,5.0
4,Juventus,Man. United,1 - 2,1.0,2.0
5,AEK,Ajax,0 - 2,0.0,2.0
5,CSKA Moskva,Plzen,1 - 2,1.0,2.0
5,Bayern,Benfica,5 - 1,5.0,1.0
5,Lyon,Man. City,2 - 2,2.0,2.0
5,Hoffenheim,Shakhtar Donetsk,2 - 3,2.0,3.0
5,Roma,Real Madrid,0 - 2,0.0,2.0
5,Juventus,Valencia,1 - 0,1.0,0.0
5,Man. United,Young Boys,1 - 0,1.0,0.0
5,Atlético,Monaco,2 - 0,2.0,0.0
5,Lokomotiv Moskva,Galatasaray,2 - 0,2.0,0.0
5,Dortmund,Club Brugge,0 - 0,0.0,0.0
5,Tottenham,Internazionale,1 - 0,1.0,0.0
5,PSV,Barcelona,1 - 2,1.0,2.0
5,Napoli,Crvena zvezda,3 - 1,3.0,1.0
5,Paris,Liverpool,2 - 1,2.0,1.0
5,Porto,Schalke,3 - 1,3.0,1.0
6,Schalke,Lokomotiv Moskva,1 - 0,1.0,0.0
6,Galatasaray,Porto,2 - 3,2.0,3.0
6,Monaco,Dortmund,0 - 2,0.0,2.0
6,Club Brugge,Atlético,0 - 0,0.0,0.0
6,Internazionale,PSV,1 - 1,1.0,1.0
6,Barcelona,Tottenham,1 - 1,1.0,1.0
6,Crvena zvezda,Paris,1 - 4,1.0,4.0
6,Liverpool,Napoli,1 - 0,1.0,0.0
6,Plzen,Roma,2 - 1,2.0,1.0
6,Real Madrid,CSKA Moskva,0 - 3,0.0,3.0
6,Benfica,AEK,1 - 0,1.0,0.0
6,Ajax,Bayern,3 - 3,3.0,3.0
6,Man. City,Hoffenheim,2 - 1,2.0,1.0
6,Shakhtar Donetsk,Lyon,1 - 1,1.0,1.0
6,Valencia,Man. United,2 - 1,2.0,1.0
6,Young Boys,Juventus,2 - 1,2.0,1.0
R16 Game 1,Roma,Porto,2 - 1,2.0,1.0
R16 Game 1,Man. United,Paris,0 - 2,0.0,2.0
R16 Game 1,Tottenham,Dortmund,3 - 0,3.0,0.0
R16 Game 1,Ajax,Real Madrid,1 - 2,1.0,2.0
R16 Game 1,Lyon,Barcelona,0 - 0,0.0,0.0
R16 Game 1,Liverpool,Bayern,0 - 0,0.0,0.0
R16 Game 1,Atlético,Juventus,2 - 0,2.0,0.0
R16 Game 1,Schalke,Man. City,2 - 3,2.0,3.0
R16 Game 2,Dortmund,Tottenham,0 - 1,0.0,1.0
R16 Game 2,Real Madrid,Ajax,1 - 4,1.0,4.0
R16 Game 2,Paris,Man. United,1 - 3,1.0,3.0
R16 Game 2,Porto,Roma,3 - 1,3.0,1.0
R16 Game 2,Juventus,Atlético,3 - 0,3.0,0.0
R16 Game 2,Man. City,Schalke,7 - 0,7.0,0.0
R16 Game 2,Barcelona,Lyon,5 - 1,5.0,1.0
R16 Game 2,Bayern,Liverpool,1 - 3,1.0,3.0
QF Game 1,Tottenham,Man. City,1 - 0,1.0,0.0
QF Game 1,Liverpool,Porto,2 - 0,2.0,0.0
QF Game 1,Man. United,Barcelona,0 - 1,0.0,1.0
QF Game 1,Ajax,Juventus,1 - 1,1.0,1.0
QF Game 2,Juventus,Ajax,1 - 2,1.0,2.0
QF Game 2,Barcelona,Man. United,3 - 0,3.0,0.0
QF Game 2,Porto,Liverpool,1 - 4,1.0,4.0
QF Game 2,Man. City,Tottenham,4 - 3,4.0,3.0
SF Game 1,Tottenham,Ajax,0 - 1,0.0,1.0
SF Game 1,Barcelona,Liverpool,3 - 0,3.0,0.0
SF Game 2,Liverpool,Barcelona,4 - 0,4.0,0.0
SF Game 2,Ajax,Tottenham,2 - 3,2.0,3.0
Final,Tottenham,Liverpool,0 - 2,0.0,2.0
