Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
1,Young Boys,Man. United,2 - 1,2.0,1.0
1,Sevilla,Salzburg,1 - 1,1.0,1.0
1,Villarreal,Atalanta,2 - 2,2.0,2.0
1,Dynamo Kyiv,Benfica,0 - 0,0.0,0.0
1,Barcelona,Bayern,0 - 3,0.0,3.0
1,LOSC,Wolfsburg,0 - 0,0.0,0.0
1,Malmö,Juventus,0 - 3,0.0,3.0
1,Chelsea,Zenit,1 - 0,1.0,0.0
1,Besiktas,Dortmund,1 - 2,1.0,2.0
1,Sheriff,Shakhtar Donetsk,2 - 0,2.0,0.0
1,Club Brugge,Paris,1 - 1,1.0,1.0
1,Man. City,Leipzig,6 - 3,6.0,3.0
1,Atlético,Porto,0 - 0,0.0,0.0
1,Liverpool,Milan,3 - 2,3.0,2.0
1,Sporting CP,Ajax,1 - 5,1.0,5.0
1,Inter,Real Madrid,0 - 1,0.0,1.0
2,Ajax,Besiktas,2 - 0,2.0,0.0
2,Shakhtar Donetsk,Inter,0 - 0,0.0,0.0
2,Paris,Man. City,2 - 0,2.0,0.0
2,Leipzig,Club Brugge,1 - 2,1.0,2.0
2,Porto,Liverpool,1 - 5,1.0,5.0
2,Milan,Atlético,1 - 2,1.0,2.0
2,Dortmund,Sporting CP,1 - 0,1.0,0.0
2,Real Madrid,Sheriff,1 - 2,1.0,2.0
2,Atalanta,Young Boys,1 - 0,1.0,0.0
2,Zenit,Malmö,4 - 0,4.0,0.0
2,Bayern,Dynamo Kyiv,5 - 0,5.0,0.0
2,Benfica,Barcelona,3 - 0,3.0,0.0
2,Man. United,Villarreal,2 - 1,2.0,1.0
2,Wolfsburg,Sevilla,1 - 1,1.0,1.0
2,Salzburg,LOSC,2 - 1,2.0,1.0
2,Juventus,Chelsea,1 - 0,1.0,0.0
3,Club Brugge,Man. City,1 - 5,1.0,5.0
3,Besiktas,Sporting CP,1 - 4,1.0,4.0
3,Paris,Leipzig,3 - 2,3.0,2.0
3,Porto,Milan,1 - 0,1.0,0.0
3,Atlético,Liverpool,2 - 3,2.0,3.0
3,Ajax,Dortmund,4 - 0,4.0,0.0
3,Inter,Sheriff,3 - 1,3.0,1.0
3,Shakhtar Donetsk,Real Madrid,0 - 5,0.0,5.0
3,Barcelona,Dynamo Kyiv,1 - 0,1.0,0.0
3,Salzburg,Wolfsburg,3 - 1,3.0,1.0
3,Benfica,Bayern,0 - 4,0.0,4.0
3,Young Boys,Villarreal,1 - 4,1.0,4.0
3,Man. United,Atalanta,3 - 2,3.0,2.0
3,LOSC,Sevilla,0 - 0,0.0,0.0
3,Chelsea,Malmö,4 - 0,4.0,0.0
3,Zenit,Juventus,0 - 1,0.0,1.0
4,Wolfsburg,Salzburg,2 - 1,2.0,1.0
4,Malmö,Chelsea,0 - 1,0.0,1.0
4,Dynamo Kyiv,Barcelona,0 - 1,0.0,1.0
4,Bayern,Benfica,5 - 2,5.0,2.0
4,Villarreal,Young Boys,2 - 0,2.0,0.0
4,Atalanta,Man. United,2 - 2,2.0,2.0
4,Sevilla,LOSC,1 - 2,1.0,2.0
4,Juventus,Zenit,4 - 2,4.0,2.0
4,Milan,Porto,1 - 1,1.0,1.0
4,Real Madrid,Shakhtar Donetsk,2 - 1,2.0,1.0
4,Man. City,Club Brugge,4 - 1,4.0,1.0
4,Leipzig,Paris,2 - 2,2.0,2.0
4,Liverpool,Atlético,2 - 0,2.0,0.0
4,Sporting CP,Besiktas,4 - 0,4.0,0.0
4,Dortmund,Ajax,1 - 3,1.0,3.0
4,Sheriff,Inter,1 - 3,1.0,3.0
5,Dynamo Kyiv,Bayern,1 - 2,1.0,2.0
5,Villarreal,Man. United,0 - 2,0.0,2.0
5,Barcelona,Benfica,0 - 0,0.0,0.0
5,Young Boys,Atalanta,3 - 3,3.0,3.0
5,LOSC,Salzburg,1 - 0,1.0,0.0
5,Sevilla,Wolfsburg,2 - 0,2.0,0.0
5,Malmö,Zenit,1 - 1,1.0,1.0
5,Chelsea,Juventus,4 - 0,4.0,0.0
5,Besiktas,Ajax,1 - 2,1.0,2.0
5,Inter,Shakhtar Donetsk,2 - 0,2.0,0.0
5,Club Brugge,Leipzig,0 - 5,0.0,5.0
5,Man. City,Paris,2 - 1,2.0,1.0
5,Atlético,Milan,0 - 1,0.0,1.0
5,Liverpool,Porto,2 - 0,2.0,0.0
5,Sporting CP,Dortmund,3 - 1,3.0,1.0
5,Sheriff,Real Madrid,0 - 3,0.0,3.0
6,Paris,Club Brugge,4 - 1,4.0,1.0
6,Leipzig,Man. City,2 - 1,2.0,1.0
6,Milan,Liverpool,1 - 2,1.0,2.0
6,Porto,Atlético,1 - 3,1.0,3.0
6,Dortmund,Besiktas,5 - 0,5.0,0.0
6,Ajax,Sporting CP,4 - 2,4.0,2.0
6,Real Madrid,Inter,2 - 0,2.0,0.0
6,Shakhtar Donetsk,Sheriff,1 - 1,1.0,1.0
6,Juventus,Malmö,1 - 0,1.0,0.0
6,Zenit,Chelsea,3 - 3,3.0,3.0
6,Benfica,Dynamo Kyiv,2 - 0,2.0,0.0
6,Bayern,Barcelona,3 - 0,3.0,0.0
6,Man. United,Young Boys,1 - 1,1.0,1.0
6,Salzburg,Sevilla,1 - 0,1.0,0.0
6,Wolfsburg,LOSC,1 - 3,1.0,3.0
6,Atalanta,Villarreal,2 - 3,2.0,3.0
R16 Game 1,Paris,Real Madrid,1 - 0,1.0,0.0
R16 Game 1,Sporting CP,Man. City,0 - 5,0.0,5.0
R16 Game 1,Inter,Liverpool,0 - 2,0.0,2.0
R16 Game 1,Salzburg,Bayern,1 - 1,1.0,1.0
R16 Game 1,Villarreal,Juventus,1 - 1,1.0,1.0
R16 Game 1,Chelsea,LOSC,2 - 0,2.0,0.0
R16 Game 1,Atlético,Man. United,1 - 1,1.0,1.0
R16 Game 1,Benfica,Ajax,2 - 2,2.0,2.0
R16 Game 2,Bayern,Salzburg,7 - 1,7.0,1.0
R16 Game 2,Liverpool,Inter,0 - 1,0.0,1.0
R16 Game 2,Man. City,Sporting CP,0 - 0,0.0,0.0
R16 Game 2,Real Madrid,Paris,3 - 1,3.0,1.0
