Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
R16 Game 2,Ajax,Benfica,0 - 1,0.0,1.0
R16 Game 2,Man. United,Atlético,0 - 1,0.0,1.0
R16 Game 2,LOSC,Chelsea,1 - 2,1.0,2.0
R16 Game 2,Juventus,Villarreal,0 - 3,0.0,3.0
QF Game 1,Man. City,Atlético,1 - 0,1.0,0.0
QF Game 1,Benfica,Liverpool,1 - 3,1.0,3.0
QF Game 1,Chelsea,Real Madrid,1 - 3,1.0,3.0
QF Game 1,Villarreal,Bayern,1 - 0,1.0,0.0
QF Game 2,Bayern,Villarreal,1 - 1,1.0,1.0
QF Game 2,Real Madrid,Chelsea,2 - 3,2.0,3.0
QF Game 2,Liverpool,Benfica,3 - 3,3.0,3.0
QF Game 2,Atlético,Man. City,0 - 0,0.0,0.0
SF Game 1,Man. City,Real Madrid,4 - 3,4.0,3.0
SF Game 1,Liverpool,Villarreal,2 - 0,2.0,0.0
SF Game 2,Villarreal,Liverpool,2 - 3,2.0,3.0
SF Game 2,Real Madrid,Man. City,3 - 1,3.0,1.0
Final,Liverpool,Real Madrid,0 - 1,0.0,1.0
